0 f = 1.067441237372938e+14 Hz
1 f = 9.052095113758283e+13 Hz
2 f = 8.815154589947303e+13 Hz
3 f = 8.660417921336050e+13 Hz
4 f = 4.339880002456227e+13 Hz
5 f = 4.310866877091618e+13 Hz
6 f = 4.262511668150602e+13 Hz
7 f = 3.513005929564846e+13 Hz
8 f = 3.382446865424102e+13 Hz
9 f = 3.094733372225054e+13 Hz
10 f = 1.179867098160802e+13 Hz
11 f = 1.051725794467108e+13 Hz
12 f = 3.360687021400645e+12 Hz
13 f = 2.998022954343021e+12 Hz
14 f = 2.998022954343021e+12 Hz
14 f/i = 3.056049205072241e+13 Hz
15 f/i = 1.668254708465068e+12 Hz
16 f/i = 1.329768245877953e+12 Hz
17 f/i = 3.868416715281318e+11 Hz
