0 f = 1.108784941017508e+14 Hz
1 f = 9.719396997144311e+13 Hz
2 f = 4.632429016549377e+13 Hz
3 f = 2.446773572415433e+13 Hz
4 f = 2.108287109828318e+13 Hz
5 f = 1.876182106911439e+13 Hz
6 f = 1.520771321194968e+13 Hz
7 f = 1.158107254137344e+13 Hz
8 f = 8.607227191500931e+12 Hz
9 f = 6.697196438330780e+12 Hz
10 f = 5.899335490804009e+12 Hz
11 f = 5.802625072921976e+12 Hz
12 f = 5.367428192452828e+12 Hz
13 f = 5.125652147747745e+12 Hz
14 f = 4.642100058337580e+12 Hz
15 f = 3.457397439282677e+12 Hz
16 f = 2.998022954343021e+12 Hz
17 f = 2.998022954343021e+12 Hz
